source,target,type
Paul Pogba,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,Hugo Lloris,directed
Hugo Lloris,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Paul Pogba,directed
N''Golo Kanté,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Antoine Griezmann,directed
Benjamin Pavard,Raphaël Varane,directed
Raphaël Varane,N''Golo Kanté,directed
N''Golo Kanté,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Blaise Matuidi,directed
Blaise Matuidi,N''Golo Kanté,directed
N''Golo Kanté,Paul Pogba,directed
Paul Pogba,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Olivier Giroud,directed
Olivier Giroud,Kylian Mbappé Lottin,directed
Raphaël Varane,Olivier Giroud,directed
Raphaël Varane,Paul Pogba,directed
Hugo Lloris,Olivier Giroud,directed
Samuel Yves Umtiti,Antoine Griezmann,directed
Antoine Griezmann,Lucas Hernández Pi,directed
Raphaël Varane,Kylian Mbappé Lottin,directed
Paul Pogba,Antoine Griezmann,directed
Lucas Hernández Pi,Antoine Griezmann,directed
Samuel Yves Umtiti,Hugo Lloris,directed
Samuel Yves Umtiti,Paul Pogba,directed
Blaise Matuidi,Kylian Mbappé Lottin,directed
Hugo Lloris,N''Golo Kanté,directed
N''Golo Kanté,Antoine Griezmann,directed
Paul Pogba,Antoine Griezmann,directed
Samuel Yves Umtiti,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Kylian Mbappé Lottin,directed
Paul Pogba,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Blaise Matuidi,directed
Blaise Matuidi,N''Golo Kanté,directed
N''Golo Kanté,Paul Pogba,directed
Paul Pogba,N''Golo Kanté,directed
N''Golo Kanté,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,Olivier Giroud,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,N''Golo Kanté,directed
N''Golo Kanté,Paul Pogba,directed
Paul Pogba,N''Golo Kanté,directed
Hugo Lloris,N''Golo Kanté,directed
N''Golo Kanté,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,N''Golo Kanté,directed
