source,target,type
Antoine Griezmann,Kylian Mbappé Lottin,directed
Raphaël Varane,Hugo Lloris,directed
Hugo Lloris,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Blaise Matuidi,directed
Blaise Matuidi,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Olivier Giroud,directed
Olivier Giroud,Blaise Matuidi,directed
Blaise Matuidi,Olivier Giroud,directed
Olivier Giroud,Raphaël Varane,directed
Raphaël Varane,Paul Pogba,directed
Blaise Matuidi,N''Golo Kanté,directed
N''Golo Kanté,Lucas Hernández Pi,directed
Lucas Hernández Pi,N''Golo Kanté,directed
N''Golo Kanté,Samuel Yves Umtiti,directed
Hugo Lloris,Raphaël Varane,directed
Raphaël Varane,Paul Pogba,directed
Paul Pogba,Samuel Yves Umtiti,directed
N''Golo Kanté,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,N''Golo Kanté,directed
N''Golo Kanté,Paul Pogba,directed
Paul Pogba,Benjamin Pavard,directed
Benjamin Pavard,Raphaël Varane,directed
Raphaël Varane,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Blaise Matuidi,directed
Hugo Lloris,N''Golo Kanté,directed
Hugo Lloris,Olivier Giroud,directed
Olivier Giroud,Paul Pogba,directed
Paul Pogba,Lucas Hernández Pi,directed
Paul Pogba,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Hugo Lloris,directed
Blaise Matuidi,Lucas Hernández Pi,directed
Lucas Hernández Pi,Antoine Griezmann,directed
Antoine Griezmann,Blaise Matuidi,directed
Blaise Matuidi,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,Kylian Mbappé Lottin,directed
Raphaël Varane,Samuel Yves Umtiti,directed
Lucas Hernández Pi,N''Golo Kanté,directed
N''Golo Kanté,Blaise Matuidi,directed
Blaise Matuidi,Paul Pogba,directed
Paul Pogba,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Raphaël Varane,directed
Raphaël Varane,N''Golo Kanté,directed
N''Golo Kanté,Blaise Matuidi,directed
Blaise Matuidi,N''Golo Kanté,directed
Olivier Giroud,Raphaël Varane,directed
Raphaël Varane,Lucas Hernández Pi,directed
Antoine Griezmann,Kylian Mbappé Lottin,directed
Raphaël Varane,Antoine Griezmann,directed
N''Golo Kanté,Blaise Matuidi,directed
Blaise Matuidi,Olivier Giroud,directed
Hugo Lloris,Olivier Giroud,directed
Samuel Yves Umtiti,Hugo Lloris,directed
Blaise Matuidi,Paul Pogba,directed
Paul Pogba,Kylian Mbappé Lottin,directed
Antoine Griezmann,Lucas Hernández Pi,directed
Blaise Matuidi,Antoine Griezmann,directed
Samuel Yves Umtiti,Olivier Giroud,directed
Raphaël Varane,Samuel Yves Umtiti,directed
Antoine Griezmann,Benjamin Pavard,directed
