source,target,type
Steven N''Kemboanza Mike Christopher Nzonzi,Raphaël Varane,directed
Raphaël Varane,Djibril Sidibé,directed
Djibril Sidibé,Raphaël Varane,directed
Raphaël Varane,Presnel Kimpembe,directed
Presnel Kimpembe,Raphaël Varane,directed
Raphaël Varane,Djibril Sidibé,directed
Djibril Sidibé,Raphaël Varane,directed
Raphaël Varane,Presnel Kimpembe,directed
Presnel Kimpembe,Steven N''Kemboanza Mike Christopher Nzonzi,directed
Steven N''Kemboanza Mike Christopher Nzonzi,Presnel Kimpembe,directed
Presnel Kimpembe,Lucas Hernández Pi,directed
Lucas Hernández Pi,Thomas Lemar,directed
Thomas Lemar,N''Golo Kanté,directed
N''Golo Kanté,Djibril Sidibé,directed
Djibril Sidibé,Ousmane Dembélé,directed
Ousmane Dembélé,Djibril Sidibé,directed
Djibril Sidibé,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Presnel Kimpembe,directed
Presnel Kimpembe,Steven N''Kemboanza Mike Christopher Nzonzi,directed
Steven N''Kemboanza Mike Christopher Nzonzi,Presnel Kimpembe,directed
Presnel Kimpembe,Lucas Hernández Pi,directed
Lucas Hernández Pi,Presnel Kimpembe,directed
Presnel Kimpembe,Steve Mandanda,directed
Steve Mandanda,Raphaël Varane,directed
Raphaël Varane,N''Golo Kanté,directed
N''Golo Kanté,Ousmane Dembélé,directed
Ousmane Dembélé,N''Golo Kanté,directed
N''Golo Kanté,Djibril Sidibé,directed
Djibril Sidibé,Antoine Griezmann,directed
Antoine Griezmann,Ousmane Dembélé,directed
Ousmane Dembélé,Antoine Griezmann,directed
Antoine Griezmann,Djibril Sidibé,directed
N''Golo Kanté,Thomas Lemar,directed
Presnel Kimpembe,Lucas Hernández Pi,directed
Olivier Giroud,Antoine Griezmann,directed
Djibril Sidibé,Steve Mandanda,directed
Djibril Sidibé,Ousmane Dembélé,directed
Ousmane Dembélé,Djibril Sidibé,directed
Djibril Sidibé,Antoine Griezmann,directed
Antoine Griezmann,Raphaël Varane,directed
Djibril Sidibé,Ousmane Dembélé,directed
Ousmane Dembélé,Djibril Sidibé,directed
Djibril Sidibé,Raphaël Varane,directed
Raphaël Varane,Presnel Kimpembe,directed
Presnel Kimpembe,Lucas Hernández Pi,directed
Thomas Lemar,Lucas Hernández Pi,directed
Lucas Hernández Pi,Presnel Kimpembe,directed
Presnel Kimpembe,Steve Mandanda,directed
Steve Mandanda,Raphaël Varane,directed
Raphaël Varane,Djibril Sidibé,directed
Djibril Sidibé,Raphaël Varane,directed
Raphaël Varane,Ousmane Dembélé,directed
Ousmane Dembélé,Antoine Griezmann,directed
Presnel Kimpembe,Steven N''Kemboanza Mike Christopher Nzonzi,directed
Steven N''Kemboanza Mike Christopher Nzonzi,Presnel Kimpembe,directed
Presnel Kimpembe,Raphaël Varane,directed
Raphaël Varane,Ousmane Dembélé,directed
Ousmane Dembélé,Lucas Hernández Pi,directed
Presnel Kimpembe,Raphaël Varane,directed
Raphaël Varane,Djibril Sidibé,directed
Djibril Sidibé,Steve Mandanda,directed
Steve Mandanda,Olivier Giroud,directed
Steve Mandanda,N''Golo Kanté,directed
N''Golo Kanté,Djibril Sidibé,directed
Djibril Sidibé,N''Golo Kanté,directed
N''Golo Kanté,Thomas Lemar,directed
Thomas Lemar,N''Golo Kanté,directed
N''Golo Kanté,Djibril Sidibé,directed
Djibril Sidibé,Raphaël Varane,directed
Raphaël Varane,Presnel Kimpembe,directed
Presnel Kimpembe,Lucas Hernández Pi,directed
Lucas Hernández Pi,Antoine Griezmann,directed
Antoine Griezmann,Steven N''Kemboanza Mike Christopher Nzonzi,directed
Steven N''Kemboanza Mike Christopher Nzonzi,Antoine Griezmann,directed
Antoine Griezmann,Steven N''Kemboanza Mike Christopher Nzonzi,directed
Steven N''Kemboanza Mike Christopher Nzonzi,Antoine Griezmann,directed
Thomas Lemar,Lucas Hernández Pi,directed
Antoine Griezmann,Steven N''Kemboanza Mike Christopher Nzonzi,directed
Steven N''Kemboanza Mike Christopher Nzonzi,Thomas Lemar,directed
Thomas Lemar,Raphaël Varane,directed
Raphaël Varane,Djibril Sidibé,directed
Djibril Sidibé,Ousmane Dembélé,directed
Ousmane Dembélé,Djibril Sidibé,directed
Djibril Sidibé,Ousmane Dembélé,directed
Raphaël Varane,Presnel Kimpembe,directed
Presnel Kimpembe,Steven N''Kemboanza Mike Christopher Nzonzi,directed
Steven N''Kemboanza Mike Christopher Nzonzi,Lucas Hernández Pi,directed
Lucas Hernández Pi,Steven N''Kemboanza Mike Christopher Nzonzi,directed
Steven N''Kemboanza Mike Christopher Nzonzi,Thomas Lemar,directed
Thomas Lemar,Raphaël Varane,directed
Raphaël Varane,Djibril Sidibé,directed
Raphaël Varane,Djibril Sidibé,directed
Djibril Sidibé,Ousmane Dembélé,directed
Ousmane Dembélé,Raphaël Varane,directed
Raphaël Varane,Antoine Griezmann,directed
Antoine Griezmann,Thomas Lemar,directed
