source,target,type
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Antoine Griezmann,directed
Benjamin Pavard,Blaise Matuidi,directed
Raphaël Varane,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Lucas Hernández Pi,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Paul Pogba,directed
Paul Pogba,Benjamin Pavard,directed
Benjamin Pavard,Raphaël Varane,directed
Raphaël Varane,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Raphaël Varane,directed
Raphaël Varane,N''Golo Kanté,directed
N''Golo Kanté,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Benjamin Pavard,Raphaël Varane,directed
Raphaël Varane,Hugo Lloris,directed
Hugo Lloris,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Olivier Giroud,directed
N''Golo Kanté,Lucas Hernández Pi,directed
Lucas Hernández Pi,N''Golo Kanté,directed
N''Golo Kanté,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Samuel Yves Umtiti,Hugo Lloris,directed
Hugo Lloris,Raphaël Varane,directed
Raphaël Varane,Olivier Giroud,directed
Benjamin Pavard,Blaise Matuidi,directed
Blaise Matuidi,Antoine Griezmann,directed
Antoine Griezmann,Lucas Hernández Pi,directed
Blaise Matuidi,N''Golo Kanté,directed
N''Golo Kanté,Paul Pogba,directed
Paul Pogba,Kylian Mbappé Lottin,directed
Olivier Giroud,Benjamin Pavard,directed
Benjamin Pavard,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Blaise Matuidi,directed
Antoine Griezmann,Paul Pogba,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Paul Pogba,directed
Paul Pogba,Benjamin Pavard,directed
Benjamin Pavard,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Blaise Matuidi,directed
Blaise Matuidi,Lucas Hernández Pi,directed
Lucas Hernández Pi,Antoine Griezmann,directed
Antoine Griezmann,N''Golo Kanté,directed
N''Golo Kanté,Blaise Matuidi,directed
Blaise Matuidi,Olivier Giroud,directed
Raphaël Varane,Lucas Hernández Pi,directed
Lucas Hernández Pi,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Blaise Matuidi,Paul Pogba,directed
Paul Pogba,Raphaël Varane,directed
Raphaël Varane,Hugo Lloris,directed
Hugo Lloris,Olivier Giroud,directed
Olivier Giroud,Blaise Matuidi,directed
Raphaël Varane,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Blaise Matuidi,directed
Blaise Matuidi,Olivier Giroud,directed
Olivier Giroud,Lucas Hernández Pi,directed
Lucas Hernández Pi,Antoine Griezmann,directed
Antoine Griezmann,Paul Pogba,directed
Paul Pogba,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
N''Golo Kanté,Blaise Matuidi,directed
Benjamin Pavard,Paul Pogba,directed
Samuel Yves Umtiti,N''Golo Kanté,directed
N''Golo Kanté,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Olivier Giroud,directed
Olivier Giroud,Benjamin Pavard,directed
Benjamin Pavard,Paul Pogba,directed
Paul Pogba,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Olivier Giroud,directed
Benjamin Pavard,Hugo Lloris,directed
Hugo Lloris,Olivier Giroud,directed
Olivier Giroud,N''Golo Kanté,directed
N''Golo Kanté,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Paul Pogba,directed
Paul Pogba,N''Golo Kanté,directed
N''Golo Kanté,Blaise Matuidi,directed
Blaise Matuidi,Olivier Giroud,directed
Olivier Giroud,Lucas Hernández Pi,directed
Antoine Griezmann,Lucas Hernández Pi,directed
Lucas Hernández Pi,Blaise Matuidi,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Lucas Hernández Pi,N''Golo Kanté,directed
N''Golo Kanté,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Raphaël Varane,directed
Raphaël Varane,Lucas Hernández Pi,directed
Paul Pogba,Benjamin Pavard,directed
Benjamin Pavard,Olivier Giroud,directed
Samuel Yves Umtiti,N''Golo Kanté,directed
N''Golo Kanté,Kylian Mbappé Lottin,directed
Benjamin Pavard,Olivier Giroud,directed
Lucas Hernández Pi,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Olivier Giroud,Antoine Griezmann,directed
Antoine Griezmann,Olivier Giroud,directed
Blaise Matuidi,Antoine Griezmann,directed
Antoine Griezmann,Lucas Hernández Pi,directed
Lucas Hernández Pi,Antoine Griezmann,directed
Antoine Griezmann,Lucas Hernández Pi,directed
Antoine Griezmann,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Olivier Giroud,directed
Lucas Hernández Pi,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Antoine Griezmann,directed
Samuel Yves Umtiti,N''Golo Kanté,directed
N''Golo Kanté,Blaise Matuidi,directed
Blaise Matuidi,Antoine Griezmann,directed
N''Golo Kanté,Antoine Griezmann,directed
Antoine Griezmann,Olivier Giroud,directed
Olivier Giroud,Paul Pogba,directed
Paul Pogba,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Antoine Griezmann,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,Paul Pogba,directed
Paul Pogba,Benjamin Pavard,directed
Lucas Hernández Pi,Kylian Mbappé Lottin,directed
N''Golo Kanté,Antoine Griezmann,directed
Antoine Griezmann,Paul Pogba,directed
Paul Pogba,Blaise Matuidi,directed
Blaise Matuidi,Lucas Hernández Pi,directed
Lucas Hernández Pi,N''Golo Kanté,directed
N''Golo Kanté,Paul Pogba,directed
Paul Pogba,Blaise Matuidi,directed
Olivier Giroud,Blaise Matuidi,directed
Blaise Matuidi,Lucas Hernández Pi,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Kylian Mbappé Lottin,directed
