source,target,type
Raphaël Varane,Olivier Giroud,directed
Raphaël Varane,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,Antoine Griezmann,directed
Antoine Griezmann,Benjamin Pavard,directed
Benjamin Pavard,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Benjamin Pavard,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,N''Golo Kanté,directed
Antoine Griezmann,Kylian Mbappé Lottin,directed
Raphaël Varane,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Raphaël Varane,Paul Pogba,directed
Hugo Lloris,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,Raphaël Varane,directed
Raphaël Varane,Lucas Hernández Pi,directed
Lucas Hernández Pi,Blaise Matuidi,directed
Paul Pogba,Blaise Matuidi,directed
Blaise Matuidi,Paul Pogba,directed
Paul Pogba,Lucas Hernández Pi,directed
Lucas Hernández Pi,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Benjamin Pavard,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Olivier Giroud,directed
Olivier Giroud,Blaise Matuidi,directed
Blaise Matuidi,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Benjamin Pavard,Olivier Giroud,directed
Hugo Lloris,Paul Pogba,directed
N''Golo Kanté,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Antoine Griezmann,Olivier Giroud,directed
N''Golo Kanté,Paul Pogba,directed
Samuel Yves Umtiti,Antoine Griezmann,directed
Antoine Griezmann,Paul Pogba,directed
Paul Pogba,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,N''Golo Kanté,directed
N''Golo Kanté,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Paul Pogba,directed
Paul Pogba,Blaise Matuidi,directed
Kylian Mbappé Lottin,Raphaël Varane,directed
Raphaël Varane,Paul Pogba,directed
N''Golo Kanté,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Olivier Giroud,directed
Raphaël Varane,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Paul Pogba,directed
Paul Pogba,Blaise Matuidi,directed
Blaise Matuidi,Paul Pogba,directed
Paul Pogba,Raphaël Varane,directed
Raphaël Varane,Olivier Giroud,directed
Olivier Giroud,Antoine Griezmann,directed
Hugo Lloris,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Paul Pogba,directed
Paul Pogba,Raphaël Varane,directed
Raphaël Varane,Hugo Lloris,directed
Raphaël Varane,Antoine Griezmann,directed
Samuel Yves Umtiti,N''Golo Kanté,directed
N''Golo Kanté,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,N''Golo Kanté,directed
N''Golo Kanté,Paul Pogba,directed
Hugo Lloris,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Lucas Hernández Pi,Samuel Yves Umtiti,directed
N''Golo Kanté,Benjamin Pavard,directed
Raphaël Varane,Paul Pogba,directed
Paul Pogba,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,Paul Pogba,directed
Paul Pogba,N''Golo Kanté,directed
N''Golo Kanté,Kylian Mbappé Lottin,directed
Paul Pogba,Lucas Hernández Pi,directed
Lucas Hernández Pi,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Paul Pogba,directed
Paul Pogba,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Samuel Yves Umtiti,Antoine Griezmann,directed
Antoine Griezmann,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Antoine Griezmann,Paul Pogba,directed
Paul Pogba,Blaise Matuidi,directed
Blaise Matuidi,Antoine Griezmann,directed
Antoine Griezmann,Blaise Matuidi,directed
Blaise Matuidi,Paul Pogba,directed
Paul Pogba,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Benjamin Pavard,Hugo Lloris,directed
Hugo Lloris,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Paul Pogba,directed
Paul Pogba,Lucas Hernández Pi,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Lucas Hernández Pi,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
N''Golo Kanté,Paul Pogba,directed
Paul Pogba,N''Golo Kanté,directed
Paul Pogba,Benjamin Pavard,directed
N''Golo Kanté,Blaise Matuidi,directed
Blaise Matuidi,Lucas Hernández Pi,directed
Lucas Hernández Pi,Paul Pogba,directed
Paul Pogba,Kylian Mbappé Lottin,directed
N''Golo Kanté,Antoine Griezmann,directed
Antoine Griezmann,Olivier Giroud,directed
Paul Pogba,Olivier Giroud,directed
N''Golo Kanté,Antoine Griezmann,directed
Antoine Griezmann,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Lucas Hernández Pi,Blaise Matuidi,directed
