source,target,type
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Antoine Griezmann,directed
N''Golo Kanté,Olivier Giroud,directed
Olivier Giroud,Benjamin Pavard,directed
Benjamin Pavard,N''Golo Kanté,directed
N''Golo Kanté,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Lucas Hernández Pi,Corentin Tolisso,directed
Corentin Tolisso,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Lucas Hernández Pi,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Paul Pogba,directed
Paul Pogba,Olivier Giroud,directed
Lucas Hernández Pi,Antoine Griezmann,directed
Antoine Griezmann,Corentin Tolisso,directed
Corentin Tolisso,Lucas Hernández Pi,directed
Lucas Hernández Pi,Corentin Tolisso,directed
Corentin Tolisso,N''Golo Kanté,directed
N''Golo Kanté,Corentin Tolisso,directed
Corentin Tolisso,Lucas Hernández Pi,directed
Benjamin Pavard,Antoine Griezmann,directed
Corentin Tolisso,Paul Pogba,directed
Paul Pogba,Kylian Mbappé Lottin,directed
Antoine Griezmann,Lucas Hernández Pi,directed
Olivier Giroud,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,Antoine Griezmann,directed
Antoine Griezmann,Olivier Giroud,directed
Olivier Giroud,Kylian Mbappé Lottin,directed
Corentin Tolisso,Antoine Griezmann,directed
Antoine Griezmann,Corentin Tolisso,directed
Corentin Tolisso,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Raphaël Varane,directed
Raphaël Varane,Corentin Tolisso,directed
Corentin Tolisso,Paul Pogba,directed
Paul Pogba,Benjamin Pavard,directed
Paul Pogba,Benjamin Pavard,directed
Lucas Hernández Pi,N''Golo Kanté,directed
N''Golo Kanté,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Lucas Hernández Pi,Antoine Griezmann,directed
Antoine Griezmann,Lucas Hernández Pi,directed
Lucas Hernández Pi,Antoine Griezmann,directed
Antoine Griezmann,Lucas Hernández Pi,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Paul Pogba,directed
Hugo Lloris,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Paul Pogba,directed
Paul Pogba,Lucas Hernández Pi,directed
Lucas Hernández Pi,Corentin Tolisso,directed
Corentin Tolisso,Benjamin Pavard,directed
Benjamin Pavard,Olivier Giroud,directed
Olivier Giroud,Kylian Mbappé Lottin,directed
Samuel Yves Umtiti,Corentin Tolisso,directed
Corentin Tolisso,Lucas Hernández Pi,directed
Corentin Tolisso,Lucas Hernández Pi,directed
Kylian Mbappé Lottin,Antoine Griezmann,directed
Antoine Griezmann,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Raphaël Varane,directed
Raphaël Varane,Lucas Hernández Pi,directed
Lucas Hernández Pi,Corentin Tolisso,directed
Corentin Tolisso,Lucas Hernández Pi,directed
Lucas Hernández Pi,Olivier Giroud,directed
Olivier Giroud,Corentin Tolisso,directed
Corentin Tolisso,Paul Pogba,directed
Olivier Giroud,Lucas Hernández Pi,directed
Lucas Hernández Pi,Olivier Giroud,directed
Olivier Giroud,Lucas Hernández Pi,directed
Lucas Hernández Pi,Antoine Griezmann,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Olivier Giroud,Corentin Tolisso,directed
Corentin Tolisso,N''Golo Kanté,directed
N''Golo Kanté,Corentin Tolisso,directed
Corentin Tolisso,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Benjamin Pavard,Paul Pogba,directed
Paul Pogba,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Paul Pogba,directed
Paul Pogba,Antoine Griezmann,directed
Antoine Griezmann,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Antoine Griezmann,directed
Kylian Mbappé Lottin,Paul Pogba,directed
Kylian Mbappé Lottin,Olivier Giroud,directed
Olivier Giroud,Lucas Hernández Pi,directed
Lucas Hernández Pi,Corentin Tolisso,directed
Corentin Tolisso,Paul Pogba,directed
Paul Pogba,Kylian Mbappé Lottin,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Paul Pogba,directed
Paul Pogba,Benjamin Pavard,directed
Hugo Lloris,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,Lucas Hernández Pi,directed
Lucas Hernández Pi,Corentin Tolisso,directed
Corentin Tolisso,Lucas Hernández Pi,directed
Lucas Hernández Pi,Samuel Yves Umtiti,directed
Paul Pogba,Benjamin Pavard,directed
Benjamin Pavard,Raphaël Varane,directed
Raphaël Varane,Olivier Giroud,directed
Olivier Giroud,Paul Pogba,directed
Samuel Yves Umtiti,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Benjamin Pavard,Raphaël Varane,directed
Raphaël Varane,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Benjamin Pavard,directed
Benjamin Pavard,N''Golo Kanté,directed
N''Golo Kanté,Paul Pogba,directed
Paul Pogba,Lucas Hernández Pi,directed
Lucas Hernández Pi,Samuel Yves Umtiti,directed
Samuel Yves Umtiti,N''Golo Kanté,directed
N''Golo Kanté,Corentin Tolisso,directed
Corentin Tolisso,Antoine Griezmann,directed
Antoine Griezmann,Kylian Mbappé Lottin,directed
Antoine Griezmann,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Antoine Griezmann,directed
N''Golo Kanté,Lucas Hernández Pi,directed
Lucas Hernández Pi,Corentin Tolisso,directed
Olivier Giroud,Antoine Griezmann,directed
Antoine Griezmann,Benjamin Pavard,directed
Benjamin Pavard,Paul Pogba,directed
Kylian Mbappé Lottin,Raphaël Varane,directed
Raphaël Varane,Corentin Tolisso,directed
Corentin Tolisso,N''Golo Kanté,directed
N''Golo Kanté,Paul Pogba,directed
Paul Pogba,Antoine Griezmann,directed
Antoine Griezmann,Benjamin Pavard,directed
Benjamin Pavard,Antoine Griezmann,directed
Antoine Griezmann,Kylian Mbappé Lottin,directed
Kylian Mbappé Lottin,Paul Pogba,directed
Paul Pogba,Antoine Griezmann,directed
Antoine Griezmann,Paul Pogba,directed
Paul Pogba,N''Golo Kanté,directed
N''Golo Kanté,Paul Pogba,directed
Paul Pogba,Antoine Griezmann,directed
Antoine Griezmann,N''Golo Kanté,directed
N''Golo Kanté,Benjamin Pavard,directed
Benjamin Pavard,Kylian Mbappé Lottin,directed
Corentin Tolisso,Antoine Griezmann,directed
Antoine Griezmann,Kylian Mbappé Lottin,directed
Hugo Lloris,Olivier Giroud,directed
Olivier Giroud,Antoine Griezmann,directed
Antoine Griezmann,Corentin Tolisso,directed
Corentin Tolisso,Lucas Hernández Pi,directed
Raphaël Varane,Olivier Giroud,directed
Olivier Giroud,Benjamin Pavard,directed
Benjamin Pavard,Paul Pogba,directed
Paul Pogba,Kylian Mbappé Lottin,directed
Corentin Tolisso,N''Golo Kanté,directed
N''Golo Kanté,Raphaël Varane,directed
Raphaël Varane,Benjamin Pavard,directed
Lucas Hernández Pi,Antoine Griezmann,directed
Antoine Griezmann,Benjamin Pavard,directed
